EvidenceID,CaseMasterID,EvidenceType,Description,CollectionDate
1,1,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2022-02-28
2,1,Digital Ledger,Digital transaction ledger recovered from the accused's device/premises.,2022-02-25
3,2,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2024-05-14
4,2,CCTV Footage,CCTV footage obtained from the scene of occurrence covering the period of the incident.,2024-04-06
5,3,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2023-01-10
6,4,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2023-12-04
7,4,Digital Communication Record,Digital communication records recovered relevant to the case.,2023-12-17
8,4,Seized Document,Documents seized from the accused relevant to the investigation.,2023-11-17
9,5,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2025-09-01
10,5,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2025-08-14
11,5,Vehicle Damage Report,Vehicle damage inspection report prepared by the motor vehicle inspector.,2025-08-20
12,6,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2023-01-07
13,6,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2023-01-30
14,6,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2022-12-29
15,6,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2022-12-07
16,6,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2023-01-16
17,7,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2026-10-21
18,7,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2026-09-26
19,8,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2024-08-30
20,8,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2024-08-28
21,8,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2024-10-27
22,9,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2026-03-09
23,9,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2026-02-28
24,9,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2026-03-17
25,10,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2025-03-22
26,10,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2025-03-07
27,11,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2023-01-16
28,11,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2022-12-05
29,12,Forged Document,Suspected forged document seized and sent for handwriting/document examination.,2025-08-07
30,12,Seized Financial Record,Financial records seized from the premises during search.,2025-07-30
31,13,Seized Financial Record,Financial records seized from the premises during search.,2026-10-10
32,14,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2022-09-04
33,14,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2022-09-12
34,14,Seizure Photograph,Photographs taken at the time of seizure of case property.,2022-08-30
35,16,CCTV Footage,CCTV footage obtained from the main road junction covering the period of the incident.,2025-11-17
36,16,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-11-13
37,17,Seized Document,Documents seized from the accused relevant to the investigation.,2023-03-12
38,18,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2026-12-19
39,18,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2026-12-04
40,18,Tool Mark Analysis,Tool marks found at the point of entry sent for forensic comparison.,2026-12-19
